,question,answer
0,"คําถาม: คำสั่งของคณะกรรมการสภาทนายความเกี่ยวกับคดีมรรยยาททนายความใด ที่ให้เป็นที่สุดตามพระราชบัญญัติทนายความ 2528 โดยที่คู่กรณีไม่มีสิทธิอุทธรณ์คำสั่งต่อสภานายกพิเศษ

ตัวเลือก:
1. คำสั่งที่ยืนตามคณะกรรมการมรายาททนายความให้จำหน่ายคดี
2. คำสั่งที่ยืนตามคณะกรรมการมรรยาททนายความให้ยกคำกล่าวหา
3. คำสั่งที่ยืนตามคณะกรรมการมรรยาททนายความให้จำหน่ายคดี หรือคำสั่งให้ยกคำกล่าวหา
4. คำสั่งที่สั่งลงโทษทนายความ",3. คำสั่งที่ยืนตามคณะกรรมการมรรยาททนายความให้จำหน่ายคดี หรือคำสั่งให้ยกคำกล่าวหา
1,"คําถาม: เมื่อวันที่ 1 กรกฎาคม 2552 นายเอกทนายความได้เปิดเผยความลับของนายลูกความที่ได้รู้ในหน้าที่ของทนายความ โดยไม่ได้รับอนุญาตจากนายโทลูกความ นายโทรู้เรื่องการประพฤติผิดมรรยาททนายความของนายเอก เมื่อวันที่ 1 มกราคม 2555 นายโทจะต้องยื่นคำกล่าวหาต่อประธานกรรมการมรรยาททนายความภายในวันที่เท่าใด สิทธิการกล่าวหาทนายความจึงจะไม่สิ้นสุดลง

ตัวเลือก:
1. วันที่ 1 มกราคม 2556
2. วันที่ 1 กรกฎาคม 2555
3. วันที่ 1 มกราคม 2557
4. วันที่ 1 กรกฎาคม 2557",2. วันที่ 1 กรกฎาคม 2555
2,"คําถาม: โจทก์ฟ้องว่าโจทก์มีสิทธิครอบครองที่ดินพิพาทดีกว่าจำเลย ขอให้ขับไล่จำเลยกับบริวารออกไปจากที่ดินพิพาท และห้ามจำเลยกับบริวารเข้ามาเกี่ยวข้องในที่ดินพิพาท ผู้ร้องยื่นคำร้องสอดว่า ผู้ร้องเป็นผู้มีสิทธิครอบครองที่ดินพิพาทซึ่งเป็นที่ดินหนังสือรับรองการทำประโยชน์ (น.ส.3 ก.) โดยซื้อจากผู้จัดการมรดกของผู้ตาย ขอให้ห้ามโจทก์และจำเลยเข้ามาเกี่ยวข้องกับที่ดินพิพาท ให้วินิจฉัยว่าข้อใดถูกต้อง

ตัวเลือก:
1. กรณีตามคำร้องเป็นการจำเป็นเพื่อยังให้ได้รับความรับรอง คุ้มครองหรือบังคับตามสิทธิของตนตาม ป.วิ.พ มาตรา 57 (1)
2. คำร้องดังกล่าวถือเป็นคำฟ้อง ต้องบรรยายโดยแจ้งซัดซึ่งสภาพแห่งข้อหาและคำขอบังคับทั้งข้ออ้างที่อาศัยเป็นหลักแห่งข้อหาตาม ป.วิ.พ. มาตรา 172 วรรคสอง
3. หากศาลไม่อนุญาตตามคำร้อง ผู้ร้องอุทธรณ์ได้ทันที
4. ถูกทุกข้อ",4. ถูกทุกข้อ
3,"คําถาม: การบอกระยะยิงของอาวุธปืนจากการกระจายของเขม่าดินปืนสามารถใช้ได้ถึงระยะเท่าใดโดยประมาณ

ตัวเลือก:
1. สิบเมตร
2. ห้าเมตร
3. หนึ่งเมตร
4. ครึ่งเมตร",3. หนึ่งเมตร
4,"คําถาม: กรรมการในองค์กรอิสระตามรัฐธรรมนูญแห่งราชอาณาจักรไทย พ.ศ. 2550 มีองค์กรอิสระใดที่มีจำนวนตามกรรมการและวาระการดำรงตำแหน่งมากที่สุดและนานที่สุด

ตัวเลือก:
1. คณะกรรมการการเลือกตั้ง
2. คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ
3. ผู้ตรวจการแผ่นดิน
4. คณะกรรมการตรวจสอบเงินแผ่นดิน",2. คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ
5,"คําถาม: โจทย์ฟ้องว่าจำเลยกู้เงินโจทก์ 100,000 บาท ตามสำเนาเอกสารสัญญากู้ท้ายฟ้อง หนี้ถึงกำหนดแล้วแต่จำเลยไม่ยอมชำระหนี้ ขอให้ศาลยังคับจำเลยชำระหนี้เงินกู้พร้อมดอกเบี้ยแก่โจทก์ จำเลยได้แจ้งว่าไม่เคยกู้เงินและรับเงินจากโจทก์ตามฟ้อง สัญญากู้ท้ายฟ้องเป็นเอกสารปลอมทั้งฉบับและคดีก็รวมความแล้วด้วย โจทก์จึงไม่มีอำนายฟ้อง ขอให้ยกฟ้อง ดังนี้ คดีมีประเด็นข้อพิพาทอย่างไร ฝ่ายใดควรการพิสูจน์

ตัวเลือก:
1. จำเลยกู้ยืมเงินโจทก์ตามฟ้องหรือไม่ โจทก์มีภาระการพิสูจน์
2. จำเลยกู้ยืมเงินโจทก์ตามฟ้องหรือไม่ คดีโจทก์ขาดอายุความหรือไม่ โจทก์มีภาระการพิสูจน์ประเด็น
3. จำเลยกู้ยืมเงินโจทก์ตามฟ้องหรือไม่ จำเลยชำระหนี้แก่โจทก์แล้วหรือไม่ คดีโจทก์ทนายความหรือไม่ โจทก์มีภาระการพิสูจน์ทุกประเด็น
4. จำเลยกู้ยืมเงินโจทก์ตามฟ้องหรือไม่ คดีโจทก์ขาดอายุความหรือไม่ จำเลยมีภาระการพิสูจน์",1. จำเลยกู้ยืมเงินโจทก์ตามฟ้องหรือไม่ โจทก์มีภาระการพิสูจน์
6,"คําถาม: พนักงานอัยการโจทก์ฟ้องขอให้ลงโทษจำเลยในความผิดฐานทำร้ายร่างกายตามประมวลกฎหมายอาญา มาตรา 295 ซึ่งมีอัตราโทษจำคุกไม่เกิน 2 ปี หรือปรับไม่เกิน 4,000 บาท หรือทั้งจำทั้งปรับ จำนวนให้การรับสารภาพ ศาลชั้นต้นพิพากษาว่าจำเลยมีความผิดตามฟ้อง ลงโทษจำคุก 4 เดือน ลดโทษให้กึ่งหนึ่งคงจำคุก 2 เดือน โทษจำคุกให้รอการลงโทษไว้มีกำหนด 2 ปี ขอใดถูกต้อง

ตัวเลือก:
1. โจทก์อุทธรณ์ขอให้ไม่รอการลงโทษจำคุกจำเลยได้
2. จำเลยอุทธรณ์ว่าไม่ได้กระทำความผิดได้
3. โจทก์อุทธรณ์ขอให้ไม่รอการลงโทษจำคุกเลยไม่ได้ ส่วนจำเลยอุทธรณ์ว่าไม่ได้กระทำความผิดได้
4. โจทก์อุทธรณ์ขอให้ไม่รอการลงโทษจำคุกจำเลยไม่ได้",4. โจทก์อุทธรณ์ขอให้ไม่รอการลงโทษจำคุกจำเลยไม่ได้
7,"คําถาม: ข้อใดเป็นไปตามหลักเกณฑ์การยื่นบัญชีระบุพยาน

ตัวเลือก:
1. การยื่นบัญชีระบุพยานครั้งแรกต้องยื่นก่อนวันชี้สองสถาน หรือก่อนวันสืบพยานอย่างน้อยห้าวัน
2. ในคดีอาญาหากไม่มีวันตรวจพยานหลักฐาน ต้องยื่นบัญชีระบุพยานก่อนวันไต่สวนมูลฟ้องหรือวันสืบพยานไม่น้อยกว่าสิบห้าวัน
3. หากพยานเป็นตัวโจทก์หรือตัวจำเลยเอง จะระบุเป็นพยานเวลาใดก็ได้
4. ไม่มีข้อใดเป็นไปตามหลักเกณฑ์",2. ในคดีอาญาหากไม่มีวันตรวจพยานหลักฐาน ต้องยื่นบัญชีระบุพยานก่อนวันไต่สวนมูลฟ้องหรือวันสืบพยานไม่น้อยกว่าสิบห้าวัน
8,"คําถาม: คดีแพ่งเรื่องหนึ่งเจ้าหนี้ตามคำพิพากษายื่นคำขอให้ศาลออกหมายบังคับคดี โดยวิธีขอให้ศาลออกหมายจับลูกหนี้ตามคำพิพากษามากักขังไว้จนกว่าลูกหนี้ตามคำพิพากษาจะยอมปฎิบัติตามคำพิพากษาเมื่อศาลพิจารณาคำขอดังกล่าวแล้วมีคำสั่งอนุญาต ศาลจะ

ตัวเลือก:
1. ออกหมายเรียกลูกค้าหนี้ตามคำพิพากษามาศาล
2. ออกหมายจับลูกหนี้ตามคำพิพากษามาศาล
3. ออกหมายจับและกักขังลูกหนี้ตามคำพิพากษา
4. ออกหมายขังลูกหนี้ตามคำพิพากษา แต่จะขังได้ไม่เกิน 6 เดือน",1. ออกหมายเรียกลูกค้าหนี้ตามคำพิพากษามาศาล
9,"คําถาม: การคุมความประพฤติผู้ใหญ่ ตามประมวลกฎหมายอาญา อาศัยอำนาจตามกฎหมายฉบับใด

ตัวเลือก:
1. พระราชบัญญัติวิธีดำเนินการคุมความประพฤติ ตามประมวลกฎหมายอาญา ฯ
2. พระราชบัญญัติศาลเยาวชนและครอบครัวและวิธีพิจารณาคดีเยาวชนและครอบครัว ฯ
3. พระราชบัญญัติคุมประพฤติ ฯ
4. พระราชบัญญัติราชทัณฑ์ ฯ",1. พระราชบัญญัติวิธีดำเนินการคุมความประพฤติ ตามประมวลกฎหมายอาญา ฯ
