knowledges,law,source,question,answer,label
"มาตรา 140  ถ้าความผิดตามมาตรา 138 วรรคสอง หรือมาตรา 139 ได้กระทำโดยมีหรือใช้อาวุธ หรือโดยร่วมกระทำความผิดด้วยกันตั้งแต่สามคนขึ้นไป ผู้กระทำต้องระวางโทษ  จำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ
ถ้ากระทำโดยอ้างอำนาจอั้งยี่หรือซ่องโจร ไม่ว่าอั้งยี่หรือซ่องโจรนั้นจะมีอยู่หรือไม่ ผู้กระทำต้องระวางโทษจำคุกตั้งแต่สองปีถึงสิบปี และปรับตั้งแต่สี่หมื่นบาทถึงสองแสนบาท
ถ้าความผิดตามมาตรานี้ได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด ผู้กระทำต้องระวางโทษหนักกว่าโทษที่กฎหมายบัญญัติไว้ในสองวรรคก่อนกึ่งหนึ่ง",ประมวลกฎหมายอาญา,ประมวลกฎหมายอาญา/ประมวลกฎหมายอาญา_ภาค2_ลักษณะ2_หมวด1.txt,การกระทำความผิดตามมาตรา 140 ที่มีการใช้อาวุธหรือร่วมกระทำความผิดด้วยกันตั้งแต่สามคนขึ้นไป จะได้รับโทษอย่างไร?,ผู้กระทำต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ,0
มาตรา 50  ให้เจ้าพนักงานพิทักษ์ทรัพย์ยื่นรายงานเกี่ยวกับการประนอมหนี้ กิจการทรัพย์สินและความประพฤติของลูกหนี้ต่อศาล ไม่น้อยกว่าสามวันก่อนวันที่ศาลนั่งพิจารณา,พระราชบัญญัติล้มละลาย,พระราชบัญญัติล้มละลาย/พระราชบัญญัติล้มละลาย_หมวด1_ส่วน6.txt,เจ้าพนักงานพิทักษ์ทรัพย์ต้องยื่นรายงานเกี่ยวกับอะไรบ้างต่อศาล?,เจ้าพนักงานพิทักษ์ทรัพย์ต้องยื่นรายงานเกี่ยวกับการประนอมหนี้ กิจการทรัพย์สิน และความประพฤติของลูกหนี้ต่อศาล,0
"มาตรา 26  ห้ามผู้ใดประกอบธุรกิจการนำคนต่างด้าวมาทำงานกับนายจ้างในประเทศ เว้นแต่จะได้รับอนุญาตจากอธิบดี
การขออนุญาตและการอนุญาตตามวรรคหนึ่ง ให้เป็นไปตามหลักเกณฑ์ วิธีการ และเงื่อนไขที่กำหนดในกฎกระทรวง
ใบอนุญาตนำคนต่างด้าวมาทำงานให้เป็นไปตามแบบที่อธิบดีประกาศกำหนด",พระราชกำหนดการบริหารจัดการการทำงานของคนต่างด้าว,พระราชกำหนดการบริหารจัดการการทำงานของคนต่างด้าว/พระราชกำหนดการบริหารจัดการการทำงานของคนต่างด้าว_หมวด3_ส่วน2.txt,การประกอบธุรกิจการนำคนต่างด้าวมาทำงานกับนายจ้างในประเทศต้องปฏิบัติตามเงื่อนไขใด?,การประกอบธุรกิจการนำคนต่างด้าวมาทำงานกับนายจ้างในประเทศต้องได้รับอนุญาตจากอธิบดี และต้องปฏิบัติตามหลักเกณฑ์ วิธีการ และเงื่อนไขที่กำหนดในกฎกระทรวง รวมถึงต้องมีใบอนุญาตตามแบบที่อธิบดีประกาศกำหนด,0
มาตรา 62  บรรดาคดีที่เกิดขึ้นเกี่ยวด้วยเรื่องกรรมสิทธิ์ที่ดินที่ได้ออกโฉนดที่ดินแล้ว เมื่อศาลพิจารณาพิพากษาคดีถึงที่สุดแล้ว ให้ศาลแจ้งผลของคำพิพากษาอันถึงที่สุดหรือคำสั่งนั้นต่อเจ้าพนักงานที่ดินแห่งท้องที่ซึ่งที่ดินนั้นตั้งอยู่ด้วย,ประมวลกฎหมายที่ดิน,ประมวลกฎหมายที่ดิน/ประมวลกฎหมายที่ดิน_หมวด4.txt,เมื่อศาลพิจารณาคดีเกี่ยวกับกรรมสิทธิ์ที่ดินที่มีโฉนดแล้วเสร็จสิ้น ศาลต้องดำเนินการอย่างไรต่อไป?,เมื่อศาลพิจารณาพิพากษาคดีเกี่ยวกับกรรมสิทธิ์ที่ดินที่มีโฉนดถึงที่สุดแล้ว ศาลต้องแจ้งผลของคำพิพากษาหรือคำสั่งนั้นต่อเจ้าพนักงานที่ดินแห่งท้องที่ซึ่งที่ดินนั้นตั้งอยู่ด้วย ตามมาตรา 62 ของประมวลกฎหมายที่ดิน,0
มาตรา 26  ในทางเดินรถที่มีสัญญาณจราจรหรือเครื่องหมายจราจรตามมาตรา 22 หรือสัญญาณจราจรตามมาตรา 23 ถ้าเจ้าพนักงานจราจร*ผู้ควบคุมการจราจรในทางเดินรถนั้น เห็นสมควรเพื่อความปลอดภัยหรือความสะดวกในการจราจร จะให้สัญญาณจราจรเป็นอย่างอื่นก็ได้ ในกรณีเช่นนี้ ให้ผู้ขับขี่ปฏิบัติการเดินรถตามสัญญาณที่เจ้าพนักงานจราจร*กำหนดให้,พระราชบัญญัติจราจรทางบก,พระราชบัญญัติจราจรทางบก/พระราชบัญญัติจราจรทางบก_ลักษณะ2.txt,ในกรณีที่มีสัญญาณจราจรหรือเครื่องหมายจราจรอยู่แล้ว แต่เจ้าพนักงานจราจรให้สัญญาณที่แตกต่างออกไป ผู้ขับขี่ควรปฏิบัติอย่างไร?,ผู้ขับขี่ควรปฏิบัติตามสัญญาณที่เจ้าพนักงานจราจรกำหนดให้ แม้ว่าจะมีสัญญาณจราจรหรือเครื่องหมายจราจรอยู่แล้วก็ตาม เพื่อความปลอดภัยหรือความสะดวกในการจราจร ตามมาตรา 26 ของพระราชบัญญัติจราจรทางบก,0
"มาตรา 39 วิธีการเพื่อความปลอดภัยมีดังนี้ 
(1) กักกัน
(2) ห้ามเข้าเขตกําหนด 
(3) เรียกประกันทัณฑ์บน
(4) คุมตัวไว้ในสถานพยาบาล
(5) ห้ามการประกอบอาชีพบางอย่าง",ประมวลกฎหมายอาญา,ประมวลกฎหมายอาญา/ประมวลกฎหมายอาญา_ภาค1_ลักษณะ1_หมวด3_ส่วน2.txt,มาตรา 39 ของประมวลกฎหมายอาญากล่าวถึงวิธีการเพื่อความปลอดภัยอะไรบ้าง?,มาตรา 39 ของประมวลกฎหมายอาญากล่าวถึงวิธีการเพื่อความปลอดภัยดังนี้ (1) กักกัน (2) ห้ามเข้าเขตกําหนด (3) เรียกประกันทัณฑ์บน (4) คุมตัวไว้ในสถานพยาบาล (5) ห้ามการประกอบอาชีพบางอย่าง,0
มาตรา 79  บรรดาคำขอ คำคัดค้าน คำโต้แย้ง และคำอุทธรณ์ตามพระราชบัญญัตินี้ให้ใช้แบบพิมพ์และมีสำเนาตามที่อธิบดีกำหนด,พระราชบัญญัติสิทธิบัตร,พระราชบัญญัติสิทธิบัตร/พระราชบัญญัติสิทธิบัตร_หมวด5.txt,การยื่นคำขอ คำคัดค้าน คำโต้แย้ง และคำอุทธรณ์ตามพระราชบัญญัติสิทธิบัตรต้องใช้แบบพิมพ์และสำเนาอย่างไร?,การยื่นคำขอ คำคัดค้าน คำโต้แย้ง และคำอุทธรณ์ตามพระราชบัญญัติสิทธิบัตรต้องใช้แบบพิมพ์และมีสำเนาตามที่อธิบดีกำหนด ตามมาตรา 79 ของพระราชบัญญัติสิทธิบัตร,0
"มาตรา 321  ถ้าเจ้าหนี้ยอมรับการชำระหนี้อย่างอื่นแทนการชำระหนี้ที่ได้ตกลงกันไว้ ท่านว่าหนี้นั้นก็เป็นอันระงับสิ้นไป
ถ้าเพื่อที่จะทำให้พอแก่ใจเจ้าหนี้นั้น ลูกหนี้รับภาระเป็นหนี้อย่างใดอย่างหนึ่งขึ้นใหม่ต่อเจ้าหนี้ไซร้ เมื่อกรณีเป็นที่สงสัย ท่านมิให้สันนิษฐานว่าลูกหนี้ได้ก่อหนี้นั้นขึ้นแทนการชำระหนี้
ถ้าชำระหนี้ด้วยออก - ด้วยโอน - หรือด้วยสลักหลังตั๋วเงิน หรือประทวนสินค้า ท่านว่าหนี้นั้นจะระงับสิ้นไปต่อเมื่อตั๋วเงินหรือประทวนสินค้านั้นได้ใช้เงินแล้ว",ประมวลกฎหมายแพ่งและพาณิชย์,ประมวลกฎหมายแพ่งและพาณิชย์/ประมวลกฎหมายแพ่งและพาณิชย์_บรรพ2_ลักษณะ1_หมวด5_ส่วน1.txt,ถ้าเจ้าหนี้ยอมรับการชำระหนี้อย่างอื่นแทนการชำระหนี้ที่ได้ตกลงกันไว้ หนี้จะเป็นอย่างไร?,หนี้นั้นก็เป็นอันระงับสิ้นไป,0
มาตรา 163  อันสิทธิเรียกร้องอย่างใด ๆ ถ้ามิได้ใช้บังคับเสียภายในระยะเวลาอันกฎหมายกำหนดไว้ ท่านว่าตกเป็นอันขาดอายุความ ห้ามมิให้ฟ้องร้อง,ประมวลกฎหมายแพ่งและพาณิชย์,ประมวลกฎหมายแพ่งและพาณิชย์/ประมวลกฎหมายแพ่งและพาณิชย์_บรรพ1_ลักษณะ6.txt,สิทธิเรียกร้องที่ไม่ได้ใช้บังคับภายในระยะเวลาที่กฎหมายกำหนดจะมีผลอย่างไร?,สิทธิเรียกร้องที่ไม่ได้ใช้บังคับภายในระยะเวลาที่กฎหมายกำหนดจะตกเป็นอันขาดอายุความ และห้ามมิให้ฟ้องร้องตามมาตรา 163 ของประมวลกฎหมายแพ่งและพาณิชย์,0
"มาตรา 36  ผู้ขับขี่ซึ่งจะเลี้ยวรถ ให้รถคันอื่นผ่านหรือแซงขึ้นหน้า เปลี่ยนช่องเดินรถ ลดความเร็วของรถ จอดรถ หรือหยุดรถ ต้องให้สัญญาณด้วยมือและแขนตามมาตรา 37 หรือไฟสัญญาณตามมาตรา 38 หรือสัญญาณอย่างอื่นตามข้อบังคับของหัวหน้าเจ้าพนักงานจราจร*
ถ้าโดยสภาพของรถ สภาพของการบรรทุก หรือสภาพของทัศนวิสัย การให้สัญญาณด้วยมือและแขนตามวรรคหนึ่งไม่อาจทำให้ผู้ขับขี่ซึ่งขับรถสวนมาหรือตามมาข้างหลังมองเห็นได้ ผู้ขับขี่ต้องให้ไฟสัญญาณ
ผู้ขับขี่ต้องให้สัญญาณด้วยมือและแขน ไฟสัญญาณหรือสัญญาณอย่างอื่นตามวรรคหนึ่งก่อนที่จะเลี้ยวรถ เปลี่ยนช่องเดินรถ จอดรถ หรือหยุดรถเป็นระยะทางไม่น้อยกว่าสามสิบเมตร
ผู้ขับขี่ต้องให้สัญญาณด้วยมือและแขน ไฟสัญญาณหรือสัญญาณอย่างอื่นตามวรรคหนึ่ง ให้ผู้ขับขี่ซึ่งขับรถอื่นเห็นได้ในระยะไม่น้อยกว่าหกสิบเมตร",พระราชบัญญัติจราจรทางบก,พระราชบัญญัติจราจรทางบก/พระราชบัญญัติจราจรทางบก_ลักษณะ3_หมวด1.txt,ผู้ขับขี่ต้องทำอย่างไรเมื่อจะเลี้ยวรถหรือเปลี่ยนช่องเดินรถ?,ผู้ขับขี่ต้องให้สัญญาณด้วยมือและแขนตามมาตรา 37 หรือไฟสัญญาณตามมาตรา 38 หรือสัญญาณอย่างอื่นตามข้อบังคับของหัวหน้าเจ้าพนักงานจราจร ก่อนที่จะเลี้ยวรถหรือเปลี่ยนช่องเดินรถเป็นระยะทางไม่น้อยกว่าสามสิบเมตร,0
