question,positive_contexts,vistec_answer,answer,law,label
สัญญาหลักประกันทางธุรกิจต้องเป็นไปตามพระราชบัญญัติใด,"[{'context': 'พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558 มาตรา 1 พระราชบัญญัตินี้เรียกว่า “พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558”', 'metadata': {'law_code': 'ห0060-1B-0001', 'law_title': 'พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558', 'section': '1'}, 'unique_key': 'ห0060-1B-0001-1'}]",ตามพระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,0
การแก้ไขคำสั่งซื้อขายสินทรัพย์ดิจิทัลโดยรู้ว่าจะทำให้ราคาสินทรัพย์ดิจิทัลผิดไปจากสภาพปกติของตลาดสามารถทำได้หรือไม่,"[{'context': 'พระราชกำหนดการประกอบธุรกิจสินทรัพย์ดิจิทัล พ.ศ. 2561 มาตรา 50 ห้ามมิให้บุคคลใดส่ง แก้ไข หรือยกเลิกคำสั่งซื้อหรือขายสินทรัพย์ดิจิทัลเข้าไปในระบบซื้อขายสินทรัพย์ดิจิทัลของศูนย์ซื้อขายสินทรัพย์ดิจิทัล โดยรู้หรือควรรู้ว่า การกระทำดังกล่าวนั้นน่าจะทำให้ราคาสินทรัพย์ดิจิทัลหรือปริมาณการซื้อหรือขายสินทรัพย์ดิจิทัลผิดไปจากสภาพปกติของตลาดและเป็นเหตุให้ระบบซื้อขายสินทรัพย์ดิจิทัลล่าช้าหรือหยุดชะงัก', 'metadata': {'law_code': 'ก0173-1C-0001', 'law_title': 'พระราชกำหนดการประกอบธุรกิจสินทรัพย์ดิจิทัล พ.ศ. 2561', 'section': '50'}, 'unique_key': 'ก0173-1C-0001-50'}]",ไม่ได้ ตามมาตรา 50 พระราชกำหนดการประกอบธุรกิจสินทรัพย์ดิจิทัล พ.ศ. 2561 ห้ามมิให้บุคคลใดส่ง แก้ไข หรือยกเลิกคำสั่งซื้อหรือขายสินทรัพย์ดิจิทัลเข้าไปในระบบซื้อขายสินทรัพย์ดิจิทัลของศูนย์ซื้อขายสินทรัพย์ดิจิทัล โดยรู้หรือควรรู้ว่า การกระทำดังกล่าวนั้นน่าจะทำให้ราคาสินทรัพย์ดิจิทัลหรือปริมาณการซื้อหรือขายสินทรัพย์ดิจิทัลผิดไปจากสภาพปกติของตลาดและเป็นเหตุให้ระบบซื้อขายสินทรัพย์ดิจิทัลล่าช้าหรือหยุดชะงัก,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชกำหนดการประกอบธุรกิจสินทรัพย์ดิจิทัล พ.ศ. 2561,0
ใครเป็นคนตรวจสอบผู้จัดการกองทุนสำรองเลี้ยงชีพ,"[{'context': 'พระราชบัญญัติกองทุนสำรองเลี้ยงชีพ พ.ศ. 2530 มาตรา 12 ทวิ ให้นายทะเบียนมีอำนาจหน้าที่กำกับดูแลการจัดการกองทุนและมีอำนาจสั่งให้ผู้จัดการกองทุนชี้แจงข้อเท็จจริงและทำรายงานเกี่ยวกับการจัดการกองทุนได้\nในกรณีที่นายทะเบียนเห็นว่าผู้จัดการกองทุนใดจัดการกองทุนในลักษณะที่อาจเป็นเหตุให้เสียหายแก่กองทุน นายทะเบียนมีอำนาจสั่งให้ผู้จัดการกองทุนแก้ไขหรือระงับการกระทำนั้นหรือสั่งถอดถอนผู้จัดการกองทุนได้', 'metadata': {'law_code': 'ก0070-1B-0003', 'law_title': 'พระราชบัญญัติกองทุนสำรองเลี้ยงชีพ พ.ศ. 2530', 'section': '12 ทวิ'}, 'unique_key': 'ก0070-1B-0003-12_2'}]",นายทะเบียน ตามพระราชบัญญัติกองทุนสำรองเลี้ยงชีพ พ.ศ. 2530 มาตรา 12 ทวิ ให้นายทะเบียนมีอำนาจหน้าที่กำกับดูแลการจัดการกองทุนและมีอำนาจสั่งให้ผู้จัดการกองทุนชี้แจงข้อเท็จจริงและทำรายงานเกี่ยวกับการจัดการกองทุนได้ ในกรณีที่นายทะเบียนเห็นว่าผู้จัดการกองทุนใดจัดการกองทุนในลักษณะที่อาจเป็นเหตุให้เสียหายแก่กองทุน นายทะเบียนมีอำนาจสั่งให้ผู้จัดการกองทุนแก้ไขหรือระงับการกระทำนั้นหรือสั่งถอดถอนผู้จัดการกองทุนได้,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติกองทุนสำรองเลี้ยงชีพ พ.ศ. 2530,0
การจัดให้มีเงินสำรองประเภทต่างๆตามพระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 ต้องดำเนินการอย่างไร,"[{'context': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 26 ให้สำนักงานจัดให้มีเงินสำรองประเภทต่าง ๆ ตามหลักเกณฑ์และวิธีการที่คณะกรรมการ ก.ล.ต. กำหนดด้วยความเห็นชอบของรัฐมนตรี', 'metadata': {'law_code': 'ห0015-1B-0002', 'law_title': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535', 'section': '26'}, 'unique_key': 'ห0015-1B-0002-26'}]",ให้สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ จัดให้มีเงินสำรองประเภทต่างๆ ตามหลักเกณฑ์และวิธีการที่คณะกรรมการ ก.ล.ต. กำหนด คำอธิบายเพิ่มเติม : ตามมาตรา 26 พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 ให้สำนักงานจัดให้มีเงินสำรองประเภทต่าง ๆ ตามหลักเกณฑ์และวิธีการที่คณะกรรมการ ก.ล.ต. กำหนดด้วยความเห็นชอบของรัฐมนตรี,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
บริษัทหลักทรัพย์ต้องมีทุนจดทะเบียนที่ชำระแล้วเท่าใด,"[{'context': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 96 คณะกรรมการก.ล.ต. อาจประกาศกำหนดให้บริษัทหลักทรัพย์ต้องมีทุนจดทะเบียนซึ่งชำระแล้วตามจำนวนที่กำหนดสำหรับการประกอบธุรกิจหลักทรัพย์แต่ละประเภทหรือแต่ละลักษณะก็ได้', 'metadata': {'law_code': 'ห0015-1B-0002', 'law_title': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535', 'section': '96'}, 'unique_key': 'ห0015-1B-0002-96'}]",บริษัทหลักทรัพย์ต้องมีทุนจดทะเบียนที่ชำระแล้วเท่าใดจำนวนตามที่คณะกรรมการก.ล.ต. อาจประกาศกำหนดสำหรับการประกอบธุรกิจหลักทรัพย์แต่ละประเภทหรือแต่ละลักษณะก็ได้ คำอธิบายขยายความ: พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 96 คณะกรรมการก.ล.ต. อาจประกาศกำหนดให้บริษัทหลักทรัพย์ต้องมีทุนจดทะเบียนซึ่งชำระแล้วตามจำนวนที่กำหนดสำหรับการประกอบธุรกิจหลักทรัพย์แต่ละประเภทหรือแต่ละลักษณะก็ได้,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
หากบุคคลโอนทรัพย์สินของสมาคมที่เหลืออยู่ไปให้แก่บุคคลอื่นจะมีความผิดและต้องรับโทษอย่างไรบ้าง,"[{'context': 'พระราชบัญญัติกำหนดความผิดเกี่ยวกับห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด บริษัทจำกัด สมาคม และมูลนิธิ พ.ศ. 2499 มาตรา 58 ผู้ใดแบ่งทรัพย์สินของสมาคมที่เหลืออยู่เมื่อได้ชำระบัญชีแล้วให้แก่สมาชิกของสมาคม หรือโอนทรัพย์สินดังกล่าวให้แก่บุคคลอื่นอันเป็นการฝ่าฝืนมาตรา 107 แห่งประมวลกฎหมายแพ่งและพาณิชย์ ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือปรับไม่เกินสองหมื่นบาท หรือทั้งจำทั้งปรับ', 'metadata': {'law_code': 'ก0039-1B-0002', 'law_title': 'พระราชบัญญัติกำหนดความผิดเกี่ยวกับห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด บริษัทจำกัด สมาคม และมูลนิธิ พ.ศ. 2499', 'section': '58'}, 'unique_key': 'ก0039-1B-0002-58'}]","ต้องรับโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ ตามพระราชบัญญัติกำหนดความผิดเกี่ยวกับห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด บริษัทจำกัด สมาคม และมูลนิธิ พ.ศ. 2499 มาตรา 58 หากบุคคลแบ่งทรัพย์สินของสมาคมที่เหลืออยู่เมื่อได้ชำระบัญชีแล้วให้แก่สมาชิกของสมาคม หรือโอนทรัพย์สินนั้นให้แก่บุคคลอื่น ต้องรับโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ",ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติกำหนดความผิดเกี่ยวกับห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด บริษัทจำกัด สมาคม และมูลนิธิ พ.ศ. 2499,0
ความรับผิดชดใช้ค่าเสียหายตามมาตรา 173 พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 เป็นอย่างไร,"[{'context': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 174 ความรับผิดชดใช้ค่าเสียหายตามมาตรา 173 ให้เป็นจำนวนเงินเท่ากับมูลค่าที่ลดลงจากราคาขายครั้งสุดท้ายในตลาดหลักทรัพย์ของหลักทรัพย์นั้น', 'metadata': {'law_code': 'ห0015-1B-0002', 'law_title': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535', 'section': '174'}, 'unique_key': 'ห0015-1B-0002-174'}]",ต้องรับผิดชดใช้ค่าเสียหายเป็นจำนวนเงินเท่ากับมูลค่าที่ลดลงจากราคาขายครั้งสุดท้ายในตลาดหลักทรัพย์ของหลักทรัพย์ ตามมาตรา 174 พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 ความรับผิดชดใช้ค่าเสียหายตามมาตรา 173 ให้เป็นจำนวนเงินเท่ากับมูลค่าที่ลดลงจากราคาขายครั้งสุดท้ายในตลาดหลักทรัพย์ของหลักทรัพย์นั้น,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
แบบของบัตรประจำตัวพนักงานเจ้าหน้าที่ เป็นอย่างไร,"[{'context': 'พระราชบัญญัติสัญญาซื้อขายล่วงหน้า พ.ศ. 2546 มาตรา 106 ในการปฏิบัติหน้าที่ พนักงานเจ้าหน้าที่ต้องแสดงบัตรประจำตัวแก่บุคคลซึ่งเกี่ยวข้อง\nบัตรประจำตัวพนักงานเจ้าหน้าที่ ให้เป็นไปตามแบบที่รัฐมนตรีประกาศกำหนด', 'metadata': {'law_code': 'ส0065-1B-0001', 'law_title': 'พระราชบัญญัติสัญญาซื้อขายล่วงหน้า พ.ศ. 2546', 'section': '106'}, 'unique_key': 'ส0065-1B-0001-106'}]",เป็นไปตามแบบที่รัฐมนตรีประกาศกำหนด ตามพระราชบัญญัติสัญญาซื้อขายล่วงหน้า พ.ศ. 2546 มาตรา 106 ในการปฏิบัติหน้าที่ พนักงานเจ้าหน้าที่ต้องแสดงบัตรประจำตัวแก่บุคคลซึ่งเกี่ยวข้อง บัตรประจำตัวพนักงานเจ้าหน้าที่ ให้เป็นไปตามแบบที่รัฐมนตรีประกาศกำหนด,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติสัญญาซื้อขายล่วงหน้า พ.ศ. 2546,0
หากหอการค้ามีการแบ่งปันผลกำไรให้แก่สมาชิกแล้วจะมีความผิดและต้องรับโทษอย่างไรบ้าง,"[{'context': 'พระราชบัญญัติหอการค้า พ.ศ. 2509 มาตรา 54 หอการค้าใดฝ่าฝืนมาตรา 29 หรือมาตรา 30 มีความผิดทางพินัยต้องชำระค่าปรับเป็นพินัยไม่เกินห้าหมื่นบาท*', 'metadata': {'law_code': 'ห0002-1B-0001', 'law_title': 'พระราชบัญญัติหอการค้า พ.ศ. 2509', 'section': '54'}, 'unique_key': 'ห0002-1B-0001-54'}]","มีความผิดทางพินัยต้องชำระค่าปรับเป็นพินัยไม่เกิน 50,000 บาท ตามพระราชบัญญัติหอการค้า พ.ศ. 2509 มาตรา 54 วางหลักว่า ห้ามหอการค้ากระทำการใด ๆ ที่บัญญัติไว้มาตรา 29 หรือมาตรา 30 หากฝ่าฝืนจะมีความผิดทางพินัยต้องชำระค่าปรับเป็นพินัยไม่เกิน 50,000 บาท โดยมีการห้ามไม่ให้หอการค้าแบ่งปันผลกำไรหรือรายได้ให้แก่สมาชิก หรือดำเนินการในทางการเมืองซึ่งบัญญัติไว้ในมาตรา 30 ",ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหอการค้า พ.ศ. 2509,0
สิ่งที่ต้องคำนึงถึงในการออกหลักเกณฑ์เงื่อนไขการขอรับใบอนุญาตคืออะไร,"[{'context': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 51 หลักเกณฑ์ วิธีการ และเงื่อนไขการออกใบอนุญาตที่คณะกรรมการกำหนดตามมาตรา 50 ต้องคำนึงถึงความแตกต่างของประเภท ขนาด และลักษณะของกิจการพลังงาน และต้องไม่ทำให้เกิดภาระเกินสมควรแก่การประกอบกิจการพลังงานของผู้รับใบอนุญาต และไม่เป็นผลให้เกิดการจำกัดการแข่งขัน รวมทั้งต้องให้มีการปฏิบัติอย่างเท่าเทียมกันในระหว่างผู้รับใบอนุญาตที่ประกอบกิจการพลังงานในประเภท ขนาด และลักษณะเดียวกัน\nหลักเกณฑ์ วิธีการ และเงื่อนไขตามวรรคหนึ่ง ให้รวมถึงเรื่องใดเรื่องหนึ่งหรือหลายเรื่อง ดังต่อไปนี้ด้วย\n(1) สถานที่ตั้งและสภาพแวดล้อมของสถานประกอบกิจการพลังงาน\n(2) มาตรฐานทางวิชาการ วิศวกรรม และความปลอดภัย\n(3) มาตรฐานและคุณภาพการให้บริการ\n(4) อัตราค่าบริการ\n(5) ประสิทธิภาพในการใช้พลังงานและทรัพยากร\n(6) ประสิทธิภาพในการประกอบกิจการพลังงานและการให้บริการ\n(7) ประเภทและชนิดของเชื้อเพลิง รวมถึงข้อกำหนดเกี่ยวกับการใช้พลังงานหมุนเวียน\n(8) กระบวนการและเทคโนโลยีในการประกอบกิจการพลังงาน\n(9) การป้องกันและแก้ไขการขาดแคลนพลังงาน\n(10) การแข่งขันในการประกอบกิจการพลังงาน และการป้องกันการใช้อำนาจผูกขาดในทางมิชอบ\n(11) โครงสร้างการถือหุ้นและความสัมพันธ์กับผู้ประกอบกิจการพลังงานรายอื่น\n(12) กระบวนการในการรับฟังความเห็นและทำความเข้าใจกับประชาชนและผู้มีส่วนได้เสีย\n(13) มาตรฐานทางด้านสิ่งแวดล้อม\n(14) มาตรการในการบรรเทาผลกระทบต่อชุมชนและสภาพแวดล้อมในพื้นที่ใกล้เคียงกับสถานประกอบกิจการพลังงาน\n(15) ความสมบูรณ์และครบถ้วนของการรายงานข้อมูลต่อคณะกรรมการ', 'metadata': {'law_code': 'ก0123-1B-0001', 'law_title': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550', 'section': '51'}, 'unique_key': 'ก0123-1B-0001-51'}]",ความแตกต่างของประเภท ขนาด และลักษณะของกิจการ ไม่ทำให้เกิดภาระเกินสมควรแก่ผู้ประกอบการ ไม่เกิดการจำกัดการแข่งขัน และผู้ประกอบการจะต้องได้รับการปฏิบัติอย่างเท่าเทียมกัน คำอธิบาย : พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 51 หลักเกณฑ์ วิธีการ และเงื่อนไขการออกใบอนุญาตที่คณะกรรมการกำหนดตามมาตรา 50 ต้องคำนึงถึงความแตกต่างของประเภท ขนาด และลักษณะของกิจการพลังงาน และต้องไม่ทำให้เกิดภาระเกินสมควรแก่การประกอบกิจการพลังงานของผู้รับใบอนุญาต และไม่เป็นผลให้เกิดการจำกัดการแข่งขัน รวมทั้งต้องให้มีการปฏิบัติอย่างเท่าเทียมกันในระหว่างผู้รับใบอนุญาตที่ประกอบกิจการพลังงานในประเภท ขนาด และลักษณะเดียวกัน,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
